Data_log_version: 1.0
timestamp current_mode current_grip thumb_pitch_compliance_raw_counts thumb_roll_compliance_raw_counts index_compliance_raw_counts thumb_pitch_position thumb_roll_position wrist_rotator_position wrist_flexor_position index_finger_position mrp_fingers_aggregate_position index_lateral_force_sensor index_tip_force_sensor middle_tip_force_sensor ring_tip_force_sensor pinky_tip_force_sensor index_lateral_force_sensor_status index_tip_force_sensor_status middle_tip_force_sensor_status ring_tip_force_sensor_status pinky_tip_force_sensor_status distal_palm_force_sensor proximal_palm_force_sensor hand_edge_force_sensor hand_dorsal_force_sensor distal_palm_force_sensor_status proximal_palm_force_sensor_status hand_edge_force_sensor_status hand_dorsal_force_sensor_status thumb_ulnar_force_sensor thumb_radial_force_sensor thumb_tip_force_sensor thumb_dorsal_force_sensor thumb_ulnar_force_sensor_status thumb_radial_force_sensor_status thumb_tip_force_sensor_status thumb_dorsal_force_sensor_status can_frame_wifp_id can_frame_wifp_data[0] can_frame_wifp_data[1] can_frame_wifp_data[2] can_frame_wifp_data[3] can_frame_wifp_data[4] can_frame_wifp_data[5] can_frame_wifp_data[6] can_frame_wifp_data[7] can_frame_tifc_id can_frame_tifc_data[0] can_frame_tifc_data[1] can_frame_tifc_data[2] can_frame_tifc_data[3] can_frame_tifc_data[4] can_frame_tifc_data[5] can_frame_tifc_data[6] can_frame_tifc_data[7] can_frame_thup_id can_frame_thup_data[0] can_frame_thup_data[1] can_frame_thup_data[2] can_frame_thup_data[3] can_frame_thup_data[4] can_frame_thup_data[5] can_frame_thup_data[6] can_frame_thup_data[7] can_frame_sync_id can_frame_sync_data[0] can_frame_sync_data[1] can_frame_sync_data[2] can_frame_sync_data[3] can_frame_sync_data[4] can_frame_sync_data[5] can_frame_sync_data[6] can_frame_sync_data[7] can_frame_hfs1_id can_frame_hfs1_data[0] can_frame_hfs1_data[1] can_frame_hfs1_data[2] can_frame_hfs1_data[3] can_frame_hfs1_data[4] can_frame_hfs1_data[5] can_frame_hfs1_data[6] can_frame_hfs1_data[7] can_frame_hfs2_id can_frame_hfs2_data[0] can_frame_hfs2_data[1] can_frame_hfs2_data[2] can_frame_hfs2_data[3] can_frame_hfs2_data[4] can_frame_hfs2_data[5] can_frame_hfs2_data[6] can_frame_hfs2_data[7] can_frame_hfs3_id can_frame_hfs3_data[0] can_frame_hfs3_data[1] can_frame_hfs3_data[2] can_frame_hfs3_data[3] can_frame_hfs3_data[4] can_frame_hfs3_data[5] can_frame_hfs3_data[6] can_frame_hfs3_data[7]
1583360113.123964 3 3 1540 2212 2136 1.040925 0.178078 0.248164 0.198531 0.009545 -0.003272 0.000000 1.400000 1.200000 0.600000 0.200000 0 0 0 0 0 0.000000 0.000000 0.700000 0.000000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 3 142 2 216 0 35 255 244 1196 6 4 8 164 8 88 0 0 1215 14 233 2 141 0 0 0 0 128 15 4 2 1 0 156 0 1 577 0 14 12 6 2 0 98 220 833 0 0 7 0 0 0 0 1 1218 0 1 3 6 0 0 0 0
1583360113.133973 3 3 1540 2212 2136 1.042289 0.178078 0.248164 0.198531 0.009545 -0.003272 0.000000 1.300000 1.200000 0.600000 0.200000 0 0 0 0 0 0.000000 0.000000 0.500000 0.000000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 3 142 2 216 0 35 255 244 1196 6 4 8 164 8 88 0 0 1215 14 238 2 141 0 0 0 0 128 15 4 2 1 0 156 0 0 577 0 13 12 6 2 0 98 220 833 0 0 5 0 0 0 0 1 1218 0 1 3 6 0 0 0 0
1583360113.143981 3 3 1541 2211 2136 1.042289 0.179442 0.248164 0.198531 0.009545 -0.003272 0.000000 1.400000 1.200000 0.600000 0.200000 0 0 0 0 0 0.000000 0.000000 0.600000 0.000000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 3 142 2 216 0 35 255 244 1196 6 5 8 163 8 88 0 0 1215 14 238 2 146 0 0 0 0 128 15 4 2 1 0 156 0 0 577 0 14 12 6 2 0 98 220 833 0 0 6 0 0 0 0 1 1218 0 1 3 6 0 0 0 0
1583360113.153966 3 3 1541 2211 2136 1.042289 0.179442 0.248164 0.197713 0.009545 -0.003818 0.000000 1.300000 1.200000 0.600000 0.200000 0 0 0 0 0 0.000000 0.000000 0.500000 0.000000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 3 142 2 213 0 35 255 242 1196 6 5 8 163 8 88 0 0 1215 14 238 2 146 0 0 0 0 128 15 4 2 1 0 156 0 0 577 0 13 12 6 2 0 98 220 833 0 0 5 0 0 0 0 1 1218 0 1 3 6 0 0 0 0
1583360113.163990 3 3 1541 2211 2136 1.040925 0.178078 0.248164 0.198531 0.009545 -0.003272 0.000000 1.400000 1.200000 0.600000 0.200000 0 0 0 0 0 0.000000 0.000000 0.500000 0.000000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 3 142 2 216 0 35 255 244 1196 6 5 8 163 8 88 0 0 1215 14 233 2 141 0 0 0 0 128 15 4 2 1 0 156 0 0 577 0 14 12 6 2 0 98 220 833 0 0 5 0 0 0 0 1 1218 0 1 3 6 0 0 0 0
1583360113.173974 3 3 1541 2211 2136 1.042289 0.178078 0.248164 0.198531 0.009545 -0.003272 0.000000 1.300000 1.200000 0.600000 0.200000 0 0 0 0 0 0.000000 0.000000 0.000000 0.000000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 3 142 2 216 0 35 255 244 1196 6 5 8 163 8 88 0 0 1215 14 238 2 141 0 0 0 0 128 15 4 2 1 0 156 0 0 577 0 13 12 6 2 0 98 220 833 0 0 0 0 0 0 0 1 1218 0 1 3 6 0 0 0 0
1583360113.183961 3 3 1542 2212 2136 1.042289 0.179442 0.248164 0.198531 0.009545 -0.003272 0.000000 1.400000 1.200000 0.600000 0.200000 0 0 0 0 0 0.000000 0.000000 0.300000 0.000000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 3 142 2 216 0 35 255 244 1196 6 6 8 164 8 88 0 0 1215 14 238 2 146 0 0 0 0 128 15 4 2 1 0 156 0 0 577 0 14 12 6 2 0 98 220 833 0 0 3 0 0 0 0 1 1218 0 1 3 6 0 0 0 0
1583360113.193987 3 3 1542 2212 2136 1.040925 0.178078 0.248164 0.199349 0.009545 -0.003272 0.000000 1.300000 1.200000 0.600000 0.200000 0 0 0 0 0 0.000000 0.000000 0.900000 0.000000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 3 142 2 219 0 35 255 244 1196 6 6 8 164 8 88 0 0 1215 14 233 2 141 0 0 0 0 128 15 4 2 1 0 156 0 0 577 0 13 12 6 2 0 98 220 833 0 0 9 0 0 0 0 1 1218 0 1 3 6 0 0 0 0
1583360113.203998 3 3 1540 2211 2136 1.040925 0.178078 0.248164 0.198531 0.009545 -0.003272 0.000000 1.400000 1.200000 0.600000 0.200000 0 0 0 0 0 0.000000 0.000000 0.300000 0.000000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 3 142 2 216 0 35 255 244 1196 6 4 8 163 8 88 0 0 1215 14 233 2 141 0 0 0 0 128 15 4 2 1 0 156 0 0 577 0 14 12 6 2 0 98 220 833 0 0 3 0 0 0 0 1 1218 0 1 3 6 0 0 0 0
1583360113.213993 3 3 1540 2211 2136 1.042289 0.179442 0.248164 0.199349 0.009545 -0.003272 0.000000 1.300000 1.200000 0.600000 0.200000 0 0 0 0 0 0.000000 0.000000 0.300000 0.000000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 3 142 2 219 0 35 255 244 1196 6 4 8 163 8 88 0 0 1215 14 238 2 146 0 0 0 0 128 15 4 2 1 0 156 0 0 577 0 13 12 6 2 0 98 220 833 0 0 3 0 0 0 0 1 1218 0 1 3 6 0 0 0 0
