Data_log_version: 1.0
timestamp current_mode current_grip thumb_pitch_compliance_raw_counts thumb_roll_compliance_raw_counts index_compliance_raw_counts thumb_pitch_position thumb_roll_position wrist_rotator_position wrist_flexor_position index_finger_position mrp_fingers_aggregate_position index_lateral_force_sensor index_tip_force_sensor middle_tip_force_sensor ring_tip_force_sensor pinky_tip_force_sensor index_lateral_force_sensor_status index_tip_force_sensor_status middle_tip_force_sensor_status ring_tip_force_sensor_status pinky_tip_force_sensor_status distal_palm_force_sensor proximal_palm_force_sensor hand_edge_force_sensor hand_dorsal_force_sensor distal_palm_force_sensor_status proximal_palm_force_sensor_status hand_edge_force_sensor_status hand_dorsal_force_sensor_status thumb_ulnar_force_sensor thumb_radial_force_sensor thumb_tip_force_sensor thumb_dorsal_force_sensor thumb_ulnar_force_sensor_status thumb_radial_force_sensor_status thumb_tip_force_sensor_status thumb_dorsal_force_sensor_status can_frame_wifp_id can_frame_wifp_data[0] can_frame_wifp_data[1] can_frame_wifp_data[2] can_frame_wifp_data[3] can_frame_wifp_data[4] can_frame_wifp_data[5] can_frame_wifp_data[6] can_frame_wifp_data[7] can_frame_tifc_id can_frame_tifc_data[0] can_frame_tifc_data[1] can_frame_tifc_data[2] can_frame_tifc_data[3] can_frame_tifc_data[4] can_frame_tifc_data[5] can_frame_tifc_data[6] can_frame_tifc_data[7] can_frame_thup_id can_frame_thup_data[0] can_frame_thup_data[1] can_frame_thup_data[2] can_frame_thup_data[3] can_frame_thup_data[4] can_frame_thup_data[5] can_frame_thup_data[6] can_frame_thup_data[7] can_frame_sync_id can_frame_sync_data[0] can_frame_sync_data[1] can_frame_sync_data[2] can_frame_sync_data[3] can_frame_sync_data[4] can_frame_sync_data[5] can_frame_sync_data[6] can_frame_sync_data[7] can_frame_hfs1_id can_frame_hfs1_data[0] can_frame_hfs1_data[1] can_frame_hfs1_data[2] can_frame_hfs1_data[3] can_frame_hfs1_data[4] can_frame_hfs1_data[5] can_frame_hfs1_data[6] can_frame_hfs1_data[7] can_frame_hfs2_id can_frame_hfs2_data[0] can_frame_hfs2_data[1] can_frame_hfs2_data[2] can_frame_hfs2_data[3] can_frame_hfs2_data[4] can_frame_hfs2_data[5] can_frame_hfs2_data[6] can_frame_hfs2_data[7] can_frame_hfs3_id can_frame_hfs3_data[0] can_frame_hfs3_data[1] can_frame_hfs3_data[2] can_frame_hfs3_data[3] can_frame_hfs3_data[4] can_frame_hfs3_data[5] can_frame_hfs3_data[6] can_frame_hfs3_data[7]
1585260866.336381 3 0 1543 2213 2143 1.031381 0.203985 0.032998 0.008181 0.016090 0.041452 0.000000 0.900000 0.700000 2.600000 0.000000 0 0 0 0 0 10.100000 9.400000 12.800000 7.900000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 0 121 0 30 0 59 0 152 1196 6 7 8 165 8 95 0 0 1215 14 198 2 236 0 1 255 254 128 3 1 2 1 0 144 0 0 577 0 9 7 26 0 0 115 4 833 101 94 128 79 0 0 0 1 1218 0 1 3 6 0 0 0 0
1585260866.346378 3 0 1542 2212 2143 1.032744 0.205349 0.032998 0.008181 0.016090 0.041452 0.000000 0.900000 0.700000 2.600000 0.000000 0 0 0 0 0 10.100000 9.300000 12.700000 7.900000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 0 121 0 30 0 59 0 152 1196 6 6 8 164 8 95 0 0 1215 14 203 2 241 0 1 255 253 128 3 1 2 1 0 144 0 1 577 0 9 7 26 0 0 115 4 833 101 93 127 79 0 0 0 1 1218 0 1 3 6 0 0 0 0
1585260866.356388 3 0 1542 2212 2143 1.032744 0.205349 0.032998 0.008181 0.016090 0.041452 0.000000 0.900000 0.700000 2.600000 0.000000 0 0 0 0 0 10.100000 9.400000 12.700000 7.800000 0 0 0 0 0.000000 0.000000 0.300000 0.500000 0 0 0 0 1194 0 121 0 30 0 59 0 152 1196 6 6 8 164 8 95 0 0 1215 14 203 2 241 0 1 255 254 128 3 1 2 1 0 144 0 0 577 0 9 7 26 0 0 115 4 833 101 94 127 78 0 0 0 1 1218 0 0 3 5 0 0 0 0
1585260866.366426 3 0 1543 2212 2143 1.031381 0.203985 0.032998 0.008181 0.016090 0.041452 0.000000 0.900000 0.700000 2.600000 0.000000 0 0 0 0 0 10.300000 9.300000 12.800000 7.900000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 0 121 0 30 0 59 0 152 1196 6 7 8 164 8 95 0 0 1215 14 198 2 236 0 1 255 254 128 3 1 2 1 0 144 0 0 577 0 9 7 26 0 0 115 4 833 103 93 128 79 0 0 0 1 1218 0 1 3 6 0 0 0 0
1585260866.376374 3 0 1543 2212 2143 1.032744 0.205349 0.032998 0.008181 0.017181 0.041452 0.000000 0.900000 0.700000 2.600000 0.000000 0 0 0 0 0 10.500000 9.200000 12.700000 8.000000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 0 121 0 30 0 63 0 152 1196 6 7 8 164 8 95 0 0 1215 14 203 2 241 0 1 255 253 128 3 1 2 1 0 144 0 0 577 0 9 7 26 0 0 115 4 833 105 92 127 80 0 0 0 1 1218 0 1 3 6 0 0 0 0
1585260866.386364 3 0 1543 2213 2143 1.031381 0.203985 0.032998 0.007363 0.016090 0.041452 0.000000 0.900000 0.700000 2.600000 0.000000 0 0 0 0 0 10.100000 9.300000 12.600000 7.900000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 0 121 0 27 0 59 0 152 1196 6 7 8 165 8 95 0 0 1215 14 198 2 236 0 1 255 254 128 3 1 2 1 0 144 0 0 577 0 9 7 26 0 0 115 4 833 101 93 126 79 0 0 0 1 1218 0 1 3 6 0 0 0 0
1585260866.396402 3 0 1543 2213 2143 1.031381 0.203985 0.032998 0.008181 0.016090 0.041452 0.000000 0.900000 0.700000 2.600000 0.000000 0 0 0 0 0 10.200000 9.300000 12.800000 8.000000 0 0 0 0 0.000000 0.000000 0.300000 0.600000 0 0 0 0 1194 0 121 0 30 0 59 0 152 1196 6 7 8 165 8 95 0 0 1215 14 198 2 236 0 1 255 253 128 3 1 2 1 0 144 0 0 577 0 9 7 26 0 0 115 4 833 102 93 128 80 0 0 0 1 1218 0 0 3 6 0 0 0 0
1585260866.406360 3 0 1543 2214 2143 1.038198 0.210803 0.032998 0.008181 0.016090 0.041452 0.000000 0.900000 0.700000 2.600000 0.000000 0 0 0 0 0 10.400000 9.200000 12.700000 8.100000 0 0 0 0 0.000000 0.100000 0.300000 0.600000 0 0 0 0 1194 0 121 0 30 0 59 0 152 1196 6 7 8 166 8 95 0 0 1215 14 223 3 5 0 1 255 253 128 3 1 2 1 0 144 0 0 577 0 9 7 26 0 0 115 4 833 104 92 127 81 0 0 0 1 1218 0 1 3 6 0 0 0 0
1585260866.416338 3 0 1543 2214 2143 1.032744 0.205349 0.032998 0.007363 0.016090 0.041452 0.000000 0.900000 0.700000 2.600000 0.000000 0 0 0 0 0 10.000000 9.300000 12.600000 8.100000 0 0 0 0 0.000000 0.000000 0.300000 0.500000 0 0 0 0 1194 0 121 0 27 0 59 0 152 1196 6 7 8 166 8 95 0 0 1215 14 203 2 241 0 1 255 253 128 3 1 2 1 0 144 0 0 577 0 9 7 26 0 0 115 4 833 100 93 126 81 0 0 0 1 1218 0 0 3 5 0 0 0 0
1585260866.426385 3 0 1542 2212 2143 1.032744 0.205349 0.032998 0.008181 0.016090 0.041452 0.000000 0.900000 0.700000 2.600000 0.000000 0 0 0 0 0 10.000000 9.300000 12.700000 8.100000 0 0 0 0 0.000000 0.000000 0.300000 0.600000 0 0 0 0 1194 0 121 0 30 0 59 0 152 1196 6 6 8 164 8 95 0 0 1215 14 203 2 241 0 1 255 254 128 3 1 2 1 0 144 0 0 577 0 9 7 26 0 0 115 4 833 100 93 127 81 0 0 0 1 1218 0 0 3 6 0 0 0 0
